timestamp,raw_data
2026-03-24T15:08:38.712503,"b'""TWR"": {""a16"":""503B"",""R"":124,""T"":1941851,""D"":514,""P"":0,""Xcm"":-16,""Ycm"":508,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:08:38.712845,"b'JS0071{""TWR"": {""a16"":""503B"",""R"":125,""T"":1941864,""D"":513,""P"":-12,""Xcm"":-18,""Ycm"":508,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:08:38.719281,"b'JS0071{""TWR"": {""a16"":""503B"",""R"":126,""T"":1941877,""D"":510,""P"":-13,""Xcm"":-25,""Ycm"":508,""O"":0,""V"":49152,""XJS0070{""TWR"": {""a16"":""503B"",""R"":64,""T"":2412497,""D"":347,""P"":-11,""Xcm"":-24,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:08:38.731637,"b'JS0070{""TWR"": {""a16"":""503B"",""R"":65,""T"":2412510,""D"":347,""P"":-13,""Xcm"":-25,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:08:38.767606,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":66,""T"":2412548,""D"":340,""P"":2,""Xcm"":-25,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:08:38.797467,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":67,""T"":2412573,""D"":345,""P"":-6,""Xcm"":-24,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:08:38.809538,"b'JS0070{""TWR"": {""a16"":""503B"",""R"":68,""T"":2412586,""D"":342,""P"":-25,""Xcm"":-24,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:08:38.857508,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":69,""T"":2412635,""D"":345,""P"":-6,""Xcm"":-19,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:08:38.869791,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":70,""T"":2412648,""D"":345,""P"":0,""Xcm"":-14,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:08:38.893544,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":71,""T"":2412673,""D"":339,""P"":-2,""Xcm"":-12,""Ycm"":342,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
