timestamp,raw_data
2026-03-24T15:24:19.758791,"b'WR"": {""a16"":""503B"",""R"":45,""T"":3248323,""D"":348,""P"":97,""Xcm"":143,""Ycm"":318,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.759103,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":46,""T"":3248336,""D"":350,""P"":72,""Xcm"":143,""Ycm"":318,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.770572,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":47,""T"":3248385,""D"":359,""P"":63,""Xcm"":143,""Ycm"":319,""O"":0,""V"":49152,""X"":0,""YJS006F{""TWR"": {""a16"":""503B"",""R"":23,""T"":3353574,""D"":349,""P"":85,""Xcm"":200,""Ycm"":283,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.782643,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":24,""T"":3353587,""D"":347,""P"":97,""Xcm"":201,""Ycm"":283,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.800978,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":25,""T"":3353600,""D"":343,""P"":88,""Xcm"":201,""Ycm"":283,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.812716,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":26,""T"":3353613,""D"":344,""P"":94,""Xcm"":201,""Ycm"":283,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.860727,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":27,""T"":3353662,""D"":350,""P"":95,""Xcm"":204,""Ycm"":282,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.872671,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":28,""T"":3353675,""D"":348,""P"":83,""Xcm"":204,""Ycm"":282,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.884703,"b'JS0070{""TWR"": {""a16"":""503B"",""R"":29,""T"":3353688,""D"":353,""P"":102,""Xcm"":204,""Ycm"":282,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.896634,"b'JS0070{""TWR"": {""a16"":""503B"",""R"":30,""T"":3353701,""D"":347,""P"":103,""Xcm"":204,""Ycm"":282,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.914788,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":31,""T"":3353714,""D"":352,""P"":94,""Xcm"":207,""Ycm"":282,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.962882,"b'JS0070{""TWR"": {""a16"":""503B"",""R"":32,""T"":3353763,""D"":352,""P"":102,""Xcm"":207,""Ycm"":281,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.974827,"b'JS0070{""TWR"": {""a16"":""503B"",""R"":33,""T"":3353776,""D"":350,""P"":104,""Xcm"":207,""Ycm"":281,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.986840,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":34,""T"":3353789,""D"":346,""P"":95,""Xcm"":207,""Ycm"":280,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:19.998867,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":35,""T"":3353802,""D"":349,""P"":92,""Xcm"":207,""Ycm"":281,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.010981,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":36,""T"":3353815,""D"":352,""P"":99,""Xcm"":207,""Ycm"":281,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.064675,"b'JS0070{""TWR"": {""a16"":""503B"",""R"":37,""T"":3353864,""D"":350,""P"":100,""Xcm"":207,""Ycm"":281,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.076719,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":38,""T"":3353877,""D"":349,""P"":97,""Xcm"":207,""Ycm"":280,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.088754,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":39,""T"":3353890,""D"":347,""P"":85,""Xcm"":207,""Ycm"":281,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.100867,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":40,""T"":3353903,""D"":351,""P"":92,""Xcm"":207,""Ycm"":281,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.112663,"b'JS0070{""TWR"": {""a16"":""503B"",""R"":41,""T"":3353916,""D"":349,""P"":113,""Xcm"":207,""Ycm"":280,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.160694,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":42,""T"":3353965,""D"":351,""P"":97,""Xcm"":207,""Ycm"":280,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.178721,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":43,""T"":3353978,""D"":352,""P"":88,""Xcm"":207,""Ycm"":281,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.190833,"b'JS0070{""TWR"": {""a16"":""503B"",""R"":44,""T"":3353991,""D"":349,""P"":112,""Xcm"":207,""Ycm"":280,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.202706,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":45,""T"":3354004,""D"":349,""P"":94,""Xcm"":207,""Ycm"":280,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:24:20.214640,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":46,""T"":3354017,""D"":348,""P"":97,""Xcm"":207,""Ycm"":279,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
