timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:17:36.675936,2.12,49,0.66,2.01
2026-03-24T14:17:37.258096,2.14,66,0.88,1.95
2026-03-24T14:17:37.311892,2.12,57,0.75,1.98
2026-03-24T14:17:37.641895,2.14,61,0.81,1.98
2026-03-24T14:17:38.068188,2.12,48,0.64,2.01
2026-03-24T14:17:38.440393,2.1,63,0.83,1.93
2026-03-24T14:17:38.601952,2.08,62,0.81,1.91
2026-03-24T14:17:38.613804,2.1,69,0.91,1.89
2026-03-24T14:17:39.027911,2.11,73,0.96,1.88
2026-03-24T14:17:39.502621,2.1,57,0.74,1.96
2026-03-24T14:17:39.628285,2.1,55,0.72,1.97
2026-03-24T14:17:39.676227,2.14,51,0.68,2.03
2026-03-24T14:17:39.778202,2.13,30,0.41,2.09
2026-03-24T14:17:40.084227,2.09,73,0.96,1.85
2026-03-24T14:17:40.192252,2.1,54,0.7,1.97
2026-03-24T14:17:40.306227,2.12,60,0.79,1.96
2026-03-24T14:17:40.318294,2.08,71,0.92,1.87
2026-03-24T14:17:40.330173,2.12,57,0.76,1.98
2026-03-24T14:17:40.402310,2.14,80,0.77,1.96
2026-03-24T14:17:40.414275,2.12,56,0.76,1.97
2026-03-24T14:17:40.612249,2.11,75,0.76,1.96
2026-03-24T14:17:40.852168,2.13,35,0.76,1.96
2026-03-24T14:17:40.888287,2.12,55,0.76,1.97
2026-03-24T14:17:41.500562,2.09,58,0.76,1.96
2026-03-24T14:17:41.524353,2.11,64,0.76,1.96
2026-03-24T14:17:41.734290,2.09,51,0.76,1.96
2026-03-24T14:17:41.854050,2.12,64,0.78,1.96
2026-03-24T14:17:41.956105,2.12,48,0.76,1.96
2026-03-24T14:17:42.339895,2.08,43,0.76,1.96
2026-03-24T14:17:42.369993,2.11,64,0.76,1.96
2026-03-24T14:17:42.441995,2.12,48,0.76,1.96
2026-03-24T14:17:42.994215,2.12,48,0.75,1.97
2026-03-24T14:17:43.078228,2.15,44,0.75,1.97
2026-03-24T14:17:43.492079,2.11,58,0.75,1.96
2026-03-24T14:17:43.594034,2.1,64,0.76,1.96
2026-03-24T14:17:43.666100,2.11,65,0.76,1.96
