timestamp,raw_data
2026-03-24T15:16:46.543094,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":115,""T"":2900331,""D"":335,""P"":18,""Xcm"":42,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.554975,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":116,""T"":2900344,""D"":335,""P"":16,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.567061,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":117,""T"":2900357,""D"":334,""P"":12,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.579202,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":118,""T"":2900370,""D"":338,""P"":9,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.591066,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":119,""T"":2900383,""D"":337,""P"":27,""Xcm"":40,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.639123,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":120,""T"":2900432,""D"":338,""P"":16,""Xcm"":39,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.657286,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":121,""T"":2900445,""D"":337,""P"":24,""Xcm"":39,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.669510,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":122,""T"":2900458,""D"":336,""P"":9,""Xcm"":37,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.681396,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":123,""T"":2900471,""D"":337,""P"":19,""Xcm"":37,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.693401,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":124,""T"":2900484,""D"":337,""P"":13,""Xcm"":37,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.741800,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":125,""T"":2900533,""D"":333,""P"":29,""Xcm"":39,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.752997,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":126,""T"":2900546,""D"":332,""P"":26,""Xcm"":39,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.770952,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":127,""T"":2900559,""D"":335,""P"":29,""Xcm"":39,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.783075,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":128,""T"":2900572,""D"":337,""P"":23,""Xcm"":41,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:16:46.795382,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":129,""T"":2900585,""D"":335,""P"":11,""Xcm"":41,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
