timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:06:31.278166,2.15,-6,0.01,2.18
2026-03-24T14:06:31.326228,2.22,5,0.01,2.18
2026-03-24T14:06:31.380184,2.14,3,0.01,2.18
2026-03-24T14:06:31.482562,2.17,4,0.01,2.18
2026-03-24T14:06:31.542171,2.17,0,0.01,2.18
2026-03-24T14:06:31.554522,2.19,6,0.02,2.18
2026-03-24T14:06:31.578337,2.19,6,0.02,2.18
2026-03-24T14:06:31.632224,2.18,4,0.02,2.18
2026-03-24T14:06:31.656417,2.18,2,0.02,2.18
2026-03-24T14:06:31.680219,2.16,8,0.02,2.18
2026-03-24T14:06:31.830165,2.16,0,0.02,2.17
2026-03-24T14:06:31.884160,2.2,2,0.0,2.18
2026-03-24T14:06:31.932483,2.19,1,0.0,2.18
2026-03-24T14:06:31.956249,2.17,5,0.01,2.18
2026-03-24T14:06:31.974209,2.17,5,0.02,2.18
2026-03-24T14:06:31.986417,2.19,5,0.02,2.18
2026-03-24T14:06:32.046477,2.18,7,0.03,2.18
2026-03-24T14:06:32.088175,2.15,6,0.04,2.18
2026-03-24T14:06:32.136105,2.24,0,0.04,2.18
2026-03-24T14:06:32.184479,2.2,9,0.03,2.18
2026-03-24T14:06:32.262177,2.18,7,0.03,2.18
2026-03-24T14:06:32.334480,2.16,1,0.02,2.18
2026-03-24T14:06:32.352500,2.21,0,0.02,2.18
2026-03-24T14:06:32.376389,2.19,1,0.02,2.19
2026-03-24T14:06:32.388345,2.21,5,0.03,2.19
2026-03-24T14:06:37.994226,2.16,8,0.08,2.18
2026-03-24T14:06:38.018440,2.18,1,0.01,2.18
2026-03-24T14:06:38.066642,2.17,8,0.01,2.18
2026-03-24T14:06:38.114365,2.16,4,0.01,2.17
2026-03-24T14:06:38.132258,2.19,2,0.01,2.18
2026-03-24T14:06:38.156750,2.21,2,0.02,2.18
2026-03-24T14:06:38.216345,2.19,0,0.02,2.18
2026-03-24T14:06:38.258418,2.19,0,0.0,2.18
2026-03-24T14:06:38.318621,2.21,8,0.0,2.19
2026-03-24T14:06:41.588365,2.19,10,0.05,2.19
2026-03-24T14:06:41.666309,2.18,-1,0.05,2.18
2026-03-24T14:06:41.678372,2.16,-4,0.05,2.18
2026-03-24T14:06:41.768349,2.22,5,0.06,2.18
2026-03-24T14:06:41.792214,2.2,2,0.05,2.18
2026-03-24T14:06:41.804357,2.17,7,0.06,2.18
2026-03-24T14:06:41.816381,2.18,2,0.05,2.18
2026-03-24T14:06:41.906436,2.15,0,0.05,2.18
2026-03-24T14:06:41.918408,2.18,2,0.04,2.18
2026-03-24T14:06:41.978418,2.2,0,0.03,2.18
2026-03-24T14:06:41.996355,2.15,2,0.03,2.18
2026-03-24T14:06:42.008512,2.18,1,0.03,2.18
2026-03-24T14:06:42.068392,2.18,1,0.03,2.18
2026-03-24T14:06:42.080410,2.18,5,0.03,2.18
2026-03-24T14:06:42.092518,2.18,6,0.03,2.18
2026-03-24T14:06:42.110513,2.2,4,0.03,2.18
2026-03-24T14:06:42.122411,2.15,0,0.03,2.18
2026-03-24T14:06:42.170693,2.2,0,0.02,2.18
2026-03-24T14:06:42.194931,2.18,3,0.02,2.18
2026-03-24T14:06:42.206505,2.21,7,0.02,2.18
2026-03-24T14:06:42.224462,2.23,1,0.02,2.18
2026-03-24T14:06:42.272459,2.21,6,0.03,2.18
2026-03-24T14:06:42.284533,2.18,1,0.03,2.18
2026-03-24T14:06:42.308473,2.18,1,0.03,2.18
2026-03-24T14:06:42.320398,2.16,8,0.03,2.18
2026-03-24T14:06:42.422318,2.17,7,0.02,2.18
2026-03-24T14:06:42.488391,2.18,7,0.03,2.18
2026-03-24T14:06:42.524447,2.17,4,0.03,2.18
2026-03-24T14:06:42.614576,2.19,0,0.02,2.18
2026-03-24T14:06:42.626596,2.22,5,0.03,2.18
2026-03-24T14:06:42.674546,2.21,1,0.03,2.19
