timestamp,raw_data
2026-03-24T14:31:55.791510,"b'R"": {""a16"":""503B"",""R"":153,""T"":153965,""D"":218,""P"":58,""Xcm"":75,""Ycm"":202,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:55.792210,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":154,""T"":153978,""D"":211,""P"":64,""Xcm"":76,""Ycm"":202,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:55.869464,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":155,""T"":154077,""D"":215,""P"":36,""Xcm"":75,""Ycm"":202,""O"":0,""V"":49152,""X"":0,""Y"":0,JS006E{""TWR"": {""a16"":""503B"",""R"":220,""T"":209585,""D"":212,""P"":67,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:55.929746,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":221,""T"":209646,""D"":217,""P"":62,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:55.953063,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":222,""T"":209671,""D"":214,""P"":50,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:56.037097,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":223,""T"":209756,""D"":210,""P"":74,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:56.097429,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":224,""T"":209818,""D"":211,""P"":62,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:56.127412,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":225,""T"":209843,""D"":214,""P"":47,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:56.517132,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":226,""T"":210233,""D"":217,""P"":58,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:56.589360,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":227,""T"":210307,""D"":215,""P"":78,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:56.787345,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":228,""T"":210503,""D"":210,""P"":67,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:56.871198,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":229,""T"":210589,""D"":216,""P"":60,""Xcm"":85,""Ycm"":194,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:57.009228,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":230,""T"":210726,""D"":215,""P"":56,""Xcm"":85,""Ycm"":195,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:57.141138,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":231,""T"":210860,""D"":215,""P"":56,""Xcm"":84,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:57.615110,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":232,""T"":211335,""D"":215,""P"":64,""Xcm"":85,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:57.639638,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":233,""T"":211360,""D"":219,""P"":63,""Xcm"":85,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:57.681160,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":234,""T"":211397,""D"":212,""P"":74,""Xcm"":85,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:57.693248,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":235,""T"":211410,""D"":211,""P"":53,""Xcm"":85,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:57.861423,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":236,""T"":211581,""D"":212,""P"":68,""Xcm"":85,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:58.245449,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":237,""T"":211962,""D"":213,""P"":73,""Xcm"":85,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:58.479032,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":238,""T"":212196,""D"":210,""P"":54,""Xcm"":84,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:58.725125,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":239,""T"":212445,""D"":215,""P"":79,""Xcm"":85,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.037474,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":240,""T"":212754,""D"":213,""P"":62,""Xcm"":85,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.109262,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":241,""T"":212829,""D"":212,""P"":55,""Xcm"":84,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.187379,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":242,""T"":212904,""D"":208,""P"":70,""Xcm"":85,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.199295,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":243,""T"":212917,""D"":216,""P"":40,""Xcm"":85,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.283335,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":244,""T"":213004,""D"":215,""P"":57,""Xcm"":84,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.349510,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":245,""T"":213067,""D"":208,""P"":69,""Xcm"":84,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.481833,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":246,""T"":213201,""D"":217,""P"":71,""Xcm"":85,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.577271,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":247,""T"":213299,""D"":212,""P"":66,""Xcm"":85,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.607303,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":248,""T"":213324,""D"":216,""P"":68,""Xcm"":86,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.655317,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":249,""T"":213375,""D"":215,""P"":68,""Xcm"":86,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.769139,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":250,""T"":213486,""D"":208,""P"":62,""Xcm"":85,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:31:59.949551,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":251,""T"":213669,""D"":213,""P"":55,""Xcm"":84,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.033251,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":252,""T"":213755,""D"":212,""P"":44,""Xcm"":84,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.051528,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":253,""T"":213768,""D"":212,""P"":52,""Xcm"":82,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.063283,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":254,""T"":213781,""D"":212,""P"":73,""Xcm"":84,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.075068,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":255,""T"":213794,""D"":215,""P"":54,""Xcm"":84,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.297690,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":0,""T"":214013,""D"":212,""P"":76,""Xcm"":86,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.309505,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":1,""T"":214026,""D"":219,""P"":69,""Xcm"":86,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.369552,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":2,""T"":214087,""D"":208,""P"":74,""Xcm"":86,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.429220,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":3,""T"":214150,""D"":218,""P"":64,""Xcm"":87,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.441150,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":4,""T"":214163,""D"":214,""P"":54,""Xcm"":87,""Ycm"":197,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.531302,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":5,""T"":214248,""D"":212,""P"":79,""Xcm"":87,""Ycm"":196,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.543158,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":6,""T"":214261,""D"":211,""P"":60,""Xcm"":87,""Ycm"":195,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.663291,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":7,""T"":214385,""D"":216,""P"":64,""Xcm"":87,""Ycm"":195,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.705497,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":8,""T"":214423,""D"":211,""P"":69,""Xcm"":87,""Ycm"":195,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.753154,"b'JS006C{""TWR"": {""a16"":""503B"",""R"":9,""T"":214475,""D"":209,""P"":64,""Xcm"":87,""Ycm"":195,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.831523,"b'JS006D{""TWR"": {""a16"":""503B"",""R"":10,""T"":214549,""D"":212,""P"":59,""Xcm"":87,""Ycm"":195,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.927372,"b'JS006D{""TWR"": {""a16"":""503B"",""R"":11,""T"":214647,""D"":215,""P"":68,""Xcm"":87,""Ycm"":195,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:00.951263,"b'JS006D{""TWR"": {""a16"":""503B"",""R"":12,""T"":214672,""D"":216,""P"":65,""Xcm"":87,""Ycm"":195,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T14:32:01.053649,"b'JS006D{""TWR"": {""a16"":""503B"",""R"":13,""T"":214770,""D"":212,""P"":69,""Xcm"":87,""Ycm"":195,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
