timestamp,raw_data
2026-03-24T15:20:33.693280,"b'R"": {""a16"":""503B"",""R"":66,""T"":3054470,""D"":336,""P"":26,""Xcm"":44,""Ycm"":332,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.693602,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":67,""T"":3054483,""D"":337,""P"":18,""Xcm"":43,""Ycm"":333,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.699714,"b'JS006E{""TWR"": {""a16"":""503B"",""R"":68,""T"":3054496,""D"":337,""P"":19,""Xcm"":42,""Ycm"":334,""O"":0,""V"":49152,""X"":0,""Y"":0,JS006F{""TWR"": {""a16"":""503B"",""R"":21,""T"":3127495,""D"":350,""P"":50,""Xcm"":142,""Ycm"":318,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.712254,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":22,""T"":3127508,""D"":347,""P"":69,""Xcm"":142,""Ycm"":318,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.723962,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":23,""T"":3127521,""D"":348,""P"":69,""Xcm"":143,""Ycm"":318,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.735810,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":24,""T"":3127534,""D"":346,""P"":67,""Xcm"":143,""Ycm"":318,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.783975,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":25,""T"":3127583,""D"":348,""P"":78,""Xcm"":145,""Ycm"":317,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.801907,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":26,""T"":3127596,""D"":355,""P"":68,""Xcm"":146,""Ycm"":317,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.813962,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":27,""T"":3127609,""D"":348,""P"":57,""Xcm"":145,""Ycm"":317,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.826235,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":28,""T"":3127622,""D"":346,""P"":75,""Xcm"":146,""Ycm"":316,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.838198,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":29,""T"":3127635,""D"":349,""P"":53,""Xcm"":145,""Ycm"":317,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.886045,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":30,""T"":3127684,""D"":346,""P"":68,""Xcm"":146,""Ycm"":315,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.898254,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":31,""T"":3127697,""D"":350,""P"":78,""Xcm"":146,""Ycm"":315,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.916250,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":32,""T"":3127710,""D"":348,""P"":84,""Xcm"":147,""Ycm"":314,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.928244,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":33,""T"":3127723,""D"":348,""P"":57,""Xcm"":146,""Ycm"":314,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.939954,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":34,""T"":3127736,""D"":349,""P"":65,""Xcm"":145,""Ycm"":315,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.988456,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":35,""T"":3127785,""D"":348,""P"":74,""Xcm"":145,""Ycm"":315,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:33.999902,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":36,""T"":3127798,""D"":351,""P"":53,""Xcm"":144,""Ycm"":315,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
2026-03-24T15:20:34.011815,"b'JS006F{""TWR"": {""a16"":""503B"",""R"":37,""T"":3127811,""D"":351,""P"":82,""Xcm"":146,""Ycm"":314,""O"":0,""V"":49152,""X"":0,""Y"":0,""Z"":0}}\r\n'"
