timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:23:18.324270,2.26,26,0.38,2.22
2026-03-24T14:23:18.372120,2.16,54,0.72,2.03
2026-03-24T14:23:18.384360,2.18,61,0.83,2.01
2026-03-24T14:23:18.396700,2.21,42,0.58,2.13
2026-03-24T14:23:18.407973,2.21,24,0.34,2.18
2026-03-24T14:23:18.425982,2.21,63,0.87,2.03
2026-03-24T14:23:18.474050,2.17,45,0.62,2.08
2026-03-24T14:23:18.485782,2.19,54,0.73,2.06
2026-03-24T14:23:18.510319,2.19,27,0.37,2.15
2026-03-24T14:23:18.534254,2.16,55,0.75,2.03
2026-03-24T14:23:18.564183,2.23,41,0.57,2.16
2026-03-24T14:23:18.612266,2.21,42,0.58,2.13
2026-03-24T14:23:18.624475,2.25,35,0.5,2.19
2026-03-24T14:23:18.636067,2.19,45,0.62,2.1
2026-03-24T14:23:18.648627,2.2,33,0.46,2.15
2026-03-24T14:23:18.738246,2.17,70,0.95,1.95
2026-03-24T14:23:18.882248,2.22,41,0.62,2.09
2026-03-24T14:23:18.906202,2.22,53,0.62,2.09
2026-03-24T14:23:18.978434,2.19,57,0.62,2.09
2026-03-24T14:23:18.990351,2.22,52,0.62,2.1
2026-03-24T14:23:19.008401,2.16,63,0.62,2.1
2026-03-24T14:23:19.416163,2.18,62,0.62,2.1
2026-03-24T14:23:19.662209,2.18,61,0.66,2.09
2026-03-24T14:23:19.854222,2.2,48,0.64,2.1
2026-03-24T14:23:19.991983,2.19,59,0.68,2.09
2026-03-24T14:23:20.993694,2.23,39,0.68,2.1
2026-03-24T14:23:22.290539,2.22,51,0.71,2.1
2026-03-24T14:23:22.361878,2.17,53,0.72,2.1
2026-03-24T14:23:23.718170,2.19,58,0.72,2.09
2026-03-24T14:23:24.216212,2.19,36,0.72,2.09
2026-03-24T14:23:24.444414,2.2,44,0.72,2.09
2026-03-24T14:23:24.666035,2.22,29,0.68,2.1
2026-03-24T14:24:17.538159,2.23,34,0.71,2.07
2026-03-24T14:24:17.550099,2.19,58,0.73,2.07
2026-03-24T14:24:17.562016,2.19,33,0.71,2.07
2026-03-24T14:24:17.580647,2.23,23,0.69,2.08
2026-03-24T14:24:17.640093,2.19,61,0.71,2.07
2026-03-24T14:24:17.651972,2.17,53,0.71,2.07
2026-03-24T14:24:17.729953,2.21,47,0.69,2.08
2026-03-24T14:24:17.742180,2.19,38,0.69,2.08
2026-03-24T14:24:17.766456,2.17,49,0.67,2.07
2026-03-24T14:24:17.814095,2.16,61,0.67,2.07
2026-03-24T14:24:39.065499,2.08,6,0.09,2.03
2026-03-24T14:24:39.077629,2.04,5,0.09,2.03
2026-03-24T14:24:39.125641,2.03,7,0.09,2.03
2026-03-24T14:24:39.143756,2.09,5,0.08,2.03
2026-03-24T14:24:39.179749,2.04,6,0.08,2.04
2026-03-24T14:24:39.227188,2.03,8,0.08,2.04
2026-03-24T14:24:39.281134,2.03,8,0.09,2.04
2026-03-24T14:24:39.353697,1.94,3,0.09,2.03
2026-03-24T14:24:39.395533,2.01,4,0.09,2.03
2026-03-24T14:24:39.455544,2.03,5,0.09,2.03
2026-03-24T14:24:40.223274,2.09,7,0.09,2.07
2026-03-24T14:24:40.253283,2.08,4,0.07,2.08
2026-03-24T14:24:40.313213,2.06,0,0.01,2.08
2026-03-24T14:24:40.337270,2.1,0,0.01,2.09
2026-03-24T14:24:40.349367,2.09,0,0.01,2.09
2026-03-24T14:24:41.645582,2.02,31,-0.08,2.11
2026-03-24T14:24:41.771555,2.09,-4,-0.05,2.11
2026-03-24T14:24:41.789558,2.15,-6,-0.05,2.11
2026-03-24T14:24:41.825761,2.03,9,-0.01,2.1
2026-03-24T14:24:41.885538,2.07,7,-0.01,2.1
2026-03-24T14:24:41.951593,2.04,0,-0.01,2.09
2026-03-24T14:24:42.053800,2.04,-1,0.0,2.09
2026-03-24T14:24:42.149521,2.12,-7,0.01,2.08
2026-03-24T14:24:42.191650,2.11,-3,0.01,2.08
2026-03-24T14:24:42.215246,2.11,-5,0.01,2.07
2026-03-24T14:24:42.479210,2.04,-7,0.01,2.07
2026-03-24T14:24:42.563221,2.03,5,-0.01,2.06
2026-03-24T14:24:42.701240,2.13,9,-0.03,2.05
2026-03-24T14:24:42.827153,2.12,3,-0.03,2.05
2026-03-24T14:24:42.965386,2.09,3,-0.05,2.06
2026-03-24T14:24:42.977324,2.05,0,-0.05,2.05
2026-03-24T14:24:43.007268,2.09,0,-0.03,2.06
2026-03-24T14:24:43.115201,2.04,6,-0.03,2.06
2026-03-24T14:24:43.289188,2.07,1,-0.02,2.07
2026-03-24T14:24:43.331067,2.06,3,-0.03,2.06
2026-03-24T14:24:43.391147,2.03,6,-0.02,2.06
2026-03-24T14:24:43.475237,2.02,1,-0.02,2.06
