time,cmd_v,cmd_z,left_wheel,right_wheel,odom_yaw_rate,imu_yaw_rate
0.043229023000000005,0.11,0.0,0.0,0.0,0.0,0.0
0.09325475800000001,0.11,0.0,0.0,0.0,0.0,0.0
0.14324878000000002,0.11,0.0,0.0,0.0,0.0,0.0
0.19336450400000002,0.11,0.0,0.0,0.0,0.0,0.0
0.24343187400000002,0.11,0.0,0.0,0.0,0.0,0.0
0.293584687,0.11,0.0,0.0,0.0,0.0,0.0
0.34337070000000003,0.11,0.0,0.0,0.0,0.0,0.0
0.39335176200000005,0.11,0.0,0.0,0.0,0.0,0.0
0.443649285,0.11,0.0,0.0,0.0,0.0,0.0
0.49334172600000004,0.11,0.0,0.0,0.0,0.0,0.0
0.543337221,0.11,0.0,0.0,0.0,0.0,0.0
0.593337803,0.11,0.0,0.0,0.0,0.0,0.0
0.643353457,0.11,0.0,0.0,0.0,0.0,0.0
0.6933529810000001,0.11,0.0,0.0,0.0,0.0,0.0
0.743395323,0.11,0.0,0.0,0.0,0.0,0.0
0.7933502050000001,0.11,0.0,0.0,0.0,0.0,0.0
0.843557227,0.11,0.0,0.0,0.0,0.0,0.0
0.8933582470000001,0.11,0.0,0.0,0.0,0.0,0.0
0.9433541550000001,0.11,0.0,0.0,0.0,0.0,0.0
0.9935497520000001,0.11,0.0,0.0,0.0,0.0,0.0
1.0433613000000002,0.11,0.0,0.0,0.0,0.0,0.0
1.093274804,0.11,0.0,0.0,0.0,0.0,0.0
1.1435449320000002,0.11,0.0,0.0,0.0,0.0,0.0
1.193358017,0.11,0.0,0.0,0.0,0.0,0.0
1.243362469,0.11,0.0,0.0,0.0,0.0,0.0
1.293344649,0.11,0.0,0.0,0.0,0.0,0.0
1.343359278,0.11,0.0,0.0,0.0,0.0,0.0
1.393353362,0.11,0.0,0.0,0.0,0.0,0.0
1.4433445340000002,0.11,0.0,0.0,0.0,0.0,0.0
1.4933512910000002,0.11,0.0,0.0,0.0,0.0,0.0
1.5433412780000002,0.11,0.0,0.0,0.0,0.0,0.0
1.5932797440000002,0.11,0.0,0.0,0.0,0.0,0.0
1.643353126,0.11,0.0,0.0,0.0,0.0,0.0
1.6932870770000001,0.11,0.0,0.0,0.0,0.0,0.0
1.743554835,0.11,0.0,0.0,0.0,0.0,0.0
1.7933231470000002,0.11,0.0,0.0,0.0,0.0,0.0
1.843356047,0.11,0.0,0.0,0.0,0.0,0.0
1.8932274990000002,0.11,0.0,0.0,0.0,0.0,0.0
1.9433919890000002,0.11,0.0,0.0,0.0,0.0,0.0
1.9932799540000001,0.11,0.0,0.0,0.0,0.0,0.0
2.043342007,0.11,0.0,0.0,0.0,0.0,0.0
2.0932916710000002,0.11,0.0,0.0,0.0,0.0,0.0
2.143342651,0.11,0.0,0.0,0.0,0.0,0.0
2.193253722,0.11,0.0,0.0,0.0,0.0,0.0
2.2432746210000003,0.11,0.0,0.0,0.0,0.0,0.0
2.2932779190000003,0.11,0.0,0.0,0.0,0.0,0.0
2.343550285,0.11,0.0,0.0,0.0,0.0,0.0
2.39351531,0.11,0.0,0.0,0.0,0.0,0.0
2.443353385,0.11,0.0,0.0,0.0,0.0,0.0
2.493251079,0.11,0.0,0.0,0.0,0.0,0.0
2.543346509,0.11,0.0,0.0,0.0,0.0,0.0
2.593294381,0.11,0.0,0.0,0.0,0.0,0.0
2.6435539770000003,0.11,0.0,0.0,0.0,0.0,0.0
2.693350704,0.11,0.0,0.0,0.0,0.0,0.0
2.743364336,0.11,0.0,0.0,0.0,0.0,0.0
2.7932682040000003,0.11,0.0,0.0,0.0,0.0,0.0
2.84329499,0.11,0.0,0.0,0.0,0.0,0.0
2.8932737090000002,0.11,0.0,0.0,0.0,0.0,0.0
2.9437277440000003,0.11,0.0,0.0,0.0,0.0,0.0
2.993290029,0.11,0.0,0.0,0.0,0.0,0.0
3.043373201,0.11,0.1,0.0,0.0,0.0,0.0
3.093351792,0.11,0.1,0.0,0.0,0.0,0.0
3.147068818,0.11,0.1,0.0,0.0,0.00016571056677320612,0.0
3.1932875650000003,0.11,0.1,0.0,0.0,-0.00015833331629234976,0.0
3.243221419,0.11,0.1,0.0,0.0,0.00010144977178700266,0.0
3.2934517330000004,0.11,0.1,0.05302160169243102,0.06172664077626298,0.010563572926793937,0.031925998628139496
3.3445395240000004,0.11,0.1,0.07517988299673055,0.08784175802775886,0.06986170595153227,0.08513599634170532
3.395641524,0.11,0.1,0.09258996116439447,0.10446046900598349,0.06986170595153227,0.03618279844522476
3.4455151500000003,0.11,0.1,0.09496406273271227,0.11000003933205837,0.07178205004074431,0.12131880223751068
3.4935701060000004,0.11,0.1,0.09496406273271227,0.11000003933205837,0.07178205004074431,0.12131880223751068
3.547004975,0.11,0.1,0.09971226586934788,0.1171223440370118,0.06477933554339017,0.05853100121021271
3.593599003,0.11,0.1,0.10287773462710496,0.12107917998420814,0.08042430337808264,0.10854840278625488
3.6435775280000002,0.11,0.1,0.10287773462710496,0.12107917998420814,0.08042430337808264,0.10854840278625488
3.6934585450000004,0.11,0.1,0.10129500024822642,0.12107917998420814,0.09933516635902054,0.10748419910669327
3.744511933,0.11,0.1,0.10129500024822642,0.11791371122645107,0.0718581039259433,0.07449399679899216
3.793582386,0.11,0.1,0.10129500024822642,0.11791371122645107,0.0718581039259433,0.07449399679899216
3.844320208,0.11,0.1,0.10050363305878715,0.11553960965813326,0.0837785916346281,0.056402601301670074
3.8932469110000003,0.11,0.1,0.10050363305878715,0.11553960965813326,0.0837785916346281,0.1351533979177475
3.943150457,0.11,0.1,0.10050363305878715,0.11553960965813326,0.06631951504749307,0.10854840278625488
3.9954958050000005,0.11,0.1,0.10208636743766569,0.11474824246869399,0.05911933018520382,0.09790640324354172
4.043341181000001,0.11,0.1,0.10208636743766569,0.11474824246869399,0.05911933018520382,0.09790640324354172
4.0934683210000005,0.11,0.1,0.09971226586934788,0.11633097684757253,0.10140243229254578,0.12770399451255798
4.143538113,0.11,0.1,0.10208636743766569,0.12028781279476887,0.09847312151535478,0.14579540491104126
4.1956146500000004,0.11,0.1,0.10208636743766569,0.1171223440370118,0.09847312151535478,0.09152120351791382
4.243563774,0.11,0.1,0.10050363305878715,0.11949644560532961,0.11973794540506408,0.11919040232896805
4.293497369000001,0.11,0.1,0.10050363305878715,0.11949644560532961,0.11973794540506408,0.11919040232896805
4.345959298,0.11,0.1,0.10208636743766569,0.12028781279476887,0.124638790041465,0.13834600150585175
4.393981034,0.11,0.1,0.09892089867990861,0.11791371122645107,0.08612136759804229,0.09471379965543747
4.44357327,0.11,0.1,0.09892089867990861,0.11791371122645107,0.08612136759804229,0.09471379965543747
4.497101677,0.11,0.1,0.10050363305878715,0.11949644560532961,0.08692203738394537,0.08726440370082855
4.545536743,0.11,0.1,0.09892089867990861,0.11474824246869399,0.07151687398548179,0.10535579919815063
4.59324989,0.11,0.1,0.09892089867990861,0.11474824246869399,0.07151687398548179,0.10535579919815063
4.645304631,0.11,0.1,0.10129500024822642,0.11633097684757253,0.056449215524416625,0.103227399289608
4.693509477,0.11,0.1,0.10366910181654423,0.11791371122645107,0.07198899816801814,0.053210001438856125
4.7435704030000005,0.11,0.1,0.10366910181654423,0.11791371122645107,0.07198899816801814,0.053210001438856125
4.7960298980000005,0.11,0.1,0.09971226586934788,0.12028781279476887,0.111370808515358,0.10748419910669327
4.844566342,0.11,0.1,0.10366910181654423,0.11791371122645107,0.06057206715120901,0.08939280360937119
4.893556950000001,0.11,0.1,0.10366910181654423,0.11791371122645107,0.06057206715120901,0.08939280360937119
4.947826219,0.11,0.1,0.09971226586934788,0.11870507841589034,0.10438099579266248,0.09258539974689484
4.994687678,0.11,0.1,0.10129500024822642,0.1171223440370118,0.07502759376488032,0.10748419910669327
5.043584426000001,0.11,0.1,0.10129500024822642,0.1171223440370118,0.07502759376488032,0.10748419910669327
5.0970074190000005,0.11,0.1,0.10129500024822642,0.11474824246869399,0.061272379637472806,0.10429160296916962
5.1452138640000005,0.11,0.1,0.10129500024822642,0.11474824246869399,0.0707377286414062,0.08194340020418167
5.193221902,0.11,0.1,0.09812953149046935,0.11553960965813326,0.0707377286414062,0.05533840134739876
5.246036451,0.11,0.1,0.10287773462710496,0.11949644560532961,0.1063238224188,0.09577800333499908
5.293566676,0.11,0.1,0.10129500024822642,0.11870507841589034,0.08942664309904456,0.11174099892377853
5.343579408,0.11,0.1,0.10129500024822642,0.11870507841589034,0.08942664309904456,0.11174099892377853
5.39375986,0.11,0.1,0.10129500024822642,0.11949644560532961,0.14719398330588945,0.06065940111875534
5.444215267000001,0.11,0.1,0.09812953149046935,0.11870507841589034,0.10813410799280611,0.10429160296916962
5.493575907,0.11,0.1,0.09812953149046935,0.11870507841589034,0.10813410799280611,0.10429160296916962
5.5470406290000005,0.11,0.1,0.10129500024822642,0.11553960965813326,0.07044708420520543,0.08620020002126694
5.595679382,0.11,0.1,0.09892089867990861,0.11553960965813326,0.08463086477988972,0.1159977987408638
5.643629783000001,0.11,0.1,0.09892089867990861,0.11158277371093692,0.06887617671126797,0.08513599634170532
5.695740172000001,0.11,0.1,0.10050363305878715,0.11316550808981546,0.06887617671126797,0.08513599634170532
5.743567079,0.11,0.1,0.10050363305878715,0.1171223440370118,0.08281311004967433,0.10748419910669327
5.793229842000001,0.11,0.1,0.10129500024822642,0.11870507841589034,0.08281311004967433,0.09364960342645645
5.843264045000001,0.11,0.1,0.10129500024822642,0.11870507841589034,0.09820226685449325,0.03937539830803871
5.894582336,0.11,0.1,0.10208636743766569,0.12028781279476887,0.09191841156911214,0.11812619864940643
5.944644092000001,0.11,0.1,0.10208636743766569,0.11791371122645107,0.09621129665088328,0.08620020002126694
5.993222392000001,0.11,0.1,0.10208636743766569,0.11791371122645107,0.09621129665088328,0.08620020002126694
6.044649103,0.11,0.1,0.10208636743766569,0.1171223440370118,0.07889509968291539,0.07981500029563904
6.093231884000001,0.11,0.1,0.09971226586934788,0.1171223440370118,0.07889509968291539,0.13196079432964325
6.1443162120000006,0.11,0.1,0.09971226586934788,0.1171223440370118,0.11346205029385521,0.0904569998383522
6.1955773480000005,0.11,0.1,0.09971226586934788,0.11633097684757253,0.04845693835787608,0.13089659810066223
6.243619049,0.11,0.1,0.10050363305878715,0.11633097684757253,0.09178944217877767,0.0776866003870964
6.297751382,0.11,0.1,0.09971226586934788,0.11870507841589034,0.09178944217877767,0.11174099892377853
6.343515992,0.11,0.1,0.10129500024822642,0.1171223440370118,0.07611250881586738,0.06917300075292587
6.393254758,0.11,0.1,0.10050363305878715,0.11791371122645107,0.07611250881586738,0.09364960342645645
6.446055065,0.11,0.1,0.09971226586934788,0.11949644560532961,0.15769364053627918,0.13196079432964325
6.495723204000001,0.11,0.1,0.09971226586934788,0.11633097684757253,0.07278592917396415,0.04256799817085266
6.543258419000001,0.11,0.1,0.09971226586934788,0.11633097684757253,0.07278592917396415,0.04256799817085266
6.595710487000001,0.11,0.1,0.10129500024822642,0.11633097684757253,0.07659127460365718,0.05108160153031349
6.643573234000001,0.11,0.1,0.09971226586934788,0.11791371122645107,0.06811606258944385,0.103227399289608
6.6933492150000005,0.11,0.1,0.09971226586934788,0.11791371122645107,0.06811606258944385,0.103227399289608
6.743124237000001,0.11,0.1,0.10129500024822642,0.11474824246869399,0.02972142974086492,0.050017401576042175
6.79481435,0.11,0.1,0.10208636743766569,0.11474824246869399,0.06313628130101448,0.0840718001127243
6.843339205,0.11,0.1,0.10208636743766569,0.11474824246869399,0.06313628130101448,0.0840718001127243
6.894573874000001,0.11,0.1,0.10366910181654423,0.11791371122645107,0.08208937284593538,0.09152120351791382
6.944592522000001,0.11,0.1,0.09971226586934788,0.11791371122645107,0.0847528134647819,0.08087919652462006
6.993229831000001,0.11,0.1,0.09971226586934788,0.11791371122645107,0.0847528134647819,0.08087919652462006
7.044099268,0.11,0.1,0.10129500024822642,0.12028781279476887,0.08966460989557139,0.09897059947252274
7.095561851,0.11,0.1,0.10050363305878715,0.11949644560532961,0.0988321084672396,0.11706200242042542
7.143559451000001,0.11,0.1,0.10050363305878715,0.11949644560532961,0.0988321084672396,0.11706200242042542
7.195081781000001,0.11,0.1,0.10208636743766569,0.11791371122645107,0.0822599663187017,0.09152120351791382
7.243553322,0.11,0.1,0.10208636743766569,0.1171223440370118,0.07520540380886118,0.09471379965543747
7.293571362000001,0.11,0.1,0.10208636743766569,0.1171223440370118,0.07520540380886118,0.09471379965543747
7.34557528,0.11,0.1,0.09892089867990861,0.11395687527925473,0.08728154639454845,0.14366699755191803
7.393596818000001,0.11,0.1,0.10208636743766569,0.11553960965813326,0.057870473267889994,0.05746680125594139
7.443573512,0.11,0.1,0.10208636743766569,0.11553960965813326,0.057870473267889994,0.05746680125594139
7.4961134540000005,0.11,0.1,0.09733816430103008,0.11791371122645107,0.11735462573558827,0.11174099892377853
7.545688979,0.11,0.1,0.10050363305878715,0.11949644560532961,0.08984608810106715,0.11919040232896805
7.593581103000001,0.11,0.1,0.10050363305878715,0.11949644560532961,0.08984608810106715,0.11919040232896805
7.64601531,0.11,0.1,0.10050363305878715,0.11870507841589034,0.10877824656418451,0.11174099892377853
7.694628295,0.11,0.1,0.10050363305878715,0.11633097684757253,0.07293580170972047,0.0649162009358406
7.743260321,0.11,0.1,0.10050363305878715,0.11633097684757253,0.07293580170972047,0.0649162009358406
7.795078853000001,0.11,0.1,0.10287773462710496,0.11633097684757253,0.06897746713241994,0.08087919652462006
7.843611099,0.11,0.1,0.10129500024822642,0.11474824246869399,0.053864273491841475,0.09152120351791382
7.8958037590000005,0.11,0.1,0.10129500024822642,0.1171223440370118,0.053864273491841475,0.09471379965543747
7.944615313000001,0.11,0.1,0.10208636743766569,0.11870507841589034,0.05961373680007816,0.07449399679899216
7.993333295,0.11,0.1,0.10208636743766569,0.11870507841589034,0.05961373680007816,0.07449399679899216
8.046223073,0.11,0.0,0.10129500024822642,0.11949644560532961,0.08513966300639364,0.12131880223751068
8.093259062000001,0.11,0.0,0.10208636743766569,0.11949644560532961,0.08513966300639364,0.07342980057001114
8.143337615,0.11,0.0,0.10208636743766569,0.11949644560532961,0.09870416211864631,0.02766920067369938
8.193612304,0.11,0.0,0.10366910181654423,0.11316550808981546,0.055407960347824484,0.056402601301670074
