node_time_sec,elapsed_sec,cmd_forward_speed,cmd_angular_speed,imu_time_sec,imu_ang_z,imu_ang_vel_z,sensor_state_time,left_encoder,right_encoder
1776686170.345526,0.116317,0.100000,0.000000,1776686170.296979,0.165332,0.000000,1776686170.296979,2615,3842
1776686170.395911,0.166702,0.100000,0.000000,1776686170.296979,0.165332,0.000000,1776686170.296979,2615,3842
1776686170.445884,0.216675,0.100000,0.000000,1776686170.346958,0.165306,0.000000,1776686170.346958,2615,3842
1776686170.495903,0.266694,0.100000,0.000000,1776686170.396994,0.164607,-0.012770,1776686170.396994,2638,3863
1776686170.546254,0.317045,0.100000,0.000000,1776686170.446948,0.164885,0.000000,1776686170.446948,2714,3939
1776686170.595566,0.366357,0.100000,0.000000,1776686170.546940,0.165437,0.000000,1776686170.546940,2856,4085
1776686170.646247,0.417038,0.100000,0.000000,1776686170.546940,0.165437,0.000000,1776686170.546940,2856,4085
1776686170.695908,0.466699,0.100000,0.000000,1776686170.596961,0.165031,-0.030862,1776686170.596961,2973,4202
1776686170.745914,0.516705,0.100000,0.000000,1776686170.646951,0.164829,-0.014899,1776686170.646951,3054,4281
1776686170.796261,0.567052,0.100000,0.000000,1776686170.696918,0.164520,0.006385,1776686170.696918,3138,4364
1776686170.846284,0.617075,0.100000,0.000000,1776686170.746905,0.163603,0.031926,1776686170.746905,3264,4490
1776686170.895602,0.666393,0.100000,0.000000,1776686170.846927,0.165797,0.072366,1776686170.796901,3345,4573
1776686170.946361,0.717152,0.100000,0.000000,1776686170.846927,0.165797,0.072366,1776686170.846927,3427,4659
1776686170.996165,0.766956,0.100000,0.000000,1776686170.946918,0.166331,-0.004257,1776686170.946918,3635,4872
1776686171.046051,0.816842,0.100000,0.000000,1776686170.946918,0.166331,-0.004257,1776686170.946918,3635,4872
1776686171.096265,0.867056,0.100000,0.000000,1776686170.996922,0.166403,-0.013835,1776686170.996922,3762,5000
1776686171.146518,0.917310,0.100000,0.000000,1776686171.096875,0.167685,0.034054,1776686171.096875,3921,5163
1776686171.195843,0.966634,0.100000,0.000000,1776686171.096875,0.167685,0.034054,1776686171.096875,3921,5163
1776686171.245701,1.016492,0.100000,0.000000,1776686171.196897,0.165913,-0.029798,1776686171.196897,4132,5367
1776686171.296316,1.067107,0.100000,0.000000,1776686171.246871,0.165150,-0.041504,1776686171.246871,4217,5451
1776686171.345862,1.116653,0.100000,0.000000,1776686171.246871,0.165150,-0.041504,1776686171.246871,4217,5451
1776686171.395926,1.166718,0.100000,0.000000,1776686171.346855,0.163045,0.008514,1776686171.346855,4426,5654
1776686171.446306,1.217097,0.100000,0.000000,1776686171.346855,0.163045,0.008514,1776686171.346855,4426,5654
1776686171.495850,1.266641,0.100000,0.000000,1776686171.396903,0.162278,0.068109,1776686171.396903,4552,5781
1776686171.545609,1.316400,0.100000,0.000000,1776686171.496849,0.165787,0.108548,1776686171.496849,4713,5943
1776686171.596421,1.367212,0.100000,0.000000,1776686171.496849,0.165787,0.108548,1776686171.496849,4713,5943
1776686171.645508,1.416299,0.100000,0.000000,1776686171.596840,0.222915,0.888607,1776686171.596840,4917,6145
1776686171.696273,1.467064,0.100000,0.000000,1776686171.646835,0.254893,0.720463,1776686171.646835,4996,6229
1776686171.746269,1.517060,0.100000,0.000000,1776686171.646835,0.254893,0.720463,1776686171.646835,4996,6229
1776686171.795917,1.566708,0.100000,0.000000,1776686171.696836,0.300815,0.733234,1776686171.696836,5123,6357
1776686171.845913,1.616704,0.100000,0.000000,1776686171.746842,0.320540,0.325645,1776686171.746842,5208,6442
1776686171.896254,1.667045,0.100000,0.000000,1776686171.796821,0.329468,0.061724,1776686171.796821,5292,6525
1776686171.946357,1.717149,0.100000,0.000000,1776686171.896822,0.295301,-0.178786,1776686171.896822,5506,6737
1776686171.996265,1.767056,0.100000,0.000000,1776686171.896822,0.295301,-0.178786,1776686171.896822,5506,6737
1776686172.046359,1.817150,0.100000,0.000000,1776686171.946812,0.280814,-0.469312,1776686171.946812,5586,6816
1776686172.095842,1.866633,0.100000,0.000000,1776686171.996825,0.249580,-0.633199,1776686171.996825,5705,6938
1776686172.146281,1.917072,0.100000,0.000000,1776686172.046800,0.228189,-0.428873,1776686172.046800,5784,7020
1776686172.195926,1.966717,0.100000,0.000000,1776686172.096842,0.201979,-0.420359,1776686172.096842,5912,7150
1776686172.246267,2.017058,0.100000,0.000000,1776686172.146826,0.186461,-0.304361,1776686172.146826,5998,7235
1776686172.295885,2.066676,0.100000,0.000000,1776686172.196810,0.171577,-0.436322,1776686172.196810,6086,7323
1776686172.346267,2.117059,0.100000,0.000000,1776686172.296788,0.102751,-0.492725,1776686172.296788,6306,7539
1776686172.396268,2.167059,0.100000,0.000000,1776686172.296788,0.102751,-0.492725,1776686172.296788,6306,7539
1776686172.446262,2.217053,0.100000,0.000000,1776686172.346773,0.093270,-0.024477,1776686172.346773,6394,7624
1776686172.496257,2.267048,0.100000,0.000000,1776686172.396766,0.096395,0.117062,1776686172.396766,6520,7748
1776686172.546170,2.316961,0.100000,0.000000,1776686172.496772,0.103609,-0.021284,1776686172.496772,6693,7914
1776686172.595864,2.366655,0.100000,0.000000,1776686172.496772,0.103609,-0.021284,1776686172.496772,6693,7914
1776686172.646522,2.417313,0.100000,0.000000,1776686172.596760,0.168565,0.778994,1776686172.596760,6901,8111
1776686172.696314,2.467105,0.100000,0.000000,1776686172.646754,0.200193,0.764096,1776686172.646754,6986,8191
1776686172.746251,2.517042,0.100000,0.000000,1776686172.646754,0.200193,0.764096,1776686172.646754,6986,8191
1776686172.796242,2.567033,0.100000,0.000000,1776686172.696754,0.256735,0.824755,1776686172.696754,7111,8318
1776686172.846259,2.617050,0.100000,0.000000,1776686172.746753,0.293102,0.783251,1776686172.746753,7196,8403
1776686172.896237,2.667028,0.100000,0.000000,1776686172.796748,0.329061,0.724720,1776686172.796748,7278,8490
1776686172.946274,2.717065,0.100000,0.000000,1776686172.846740,0.358102,0.205391,1776686172.846740,7403,8620
1776686172.996266,2.767057,0.100000,0.000000,1776686172.896731,0.365775,0.158566,1776686172.896731,7488,8705
1776686173.046377,2.817168,0.100000,0.000000,1776686172.946764,0.368995,-0.026605,1776686172.946764,7573,8791
1776686173.096270,2.867061,0.100000,0.000000,1776686172.996765,0.356188,-0.522522,1776686172.996765,7698,8923
1776686173.146254,2.917045,0.100000,0.000000,1776686173.046723,0.323718,-0.903506,1776686173.046723,7782,9011
1776686173.196359,2.967150,0.100000,0.000000,1776686173.096714,0.284481,-0.953523,1776686173.096714,7868,9099
