timestamp,distance_raw_m,x_m,y_m,angle_deg
2026-03-24T14:31:55.792210,211,0.76,2.02,20.61819
2026-03-24T14:31:55.929746,217,0.85,1.94,23.66036
2026-03-24T14:31:55.953063,214,0.85,1.94,23.66036
2026-03-24T14:31:56.037097,210,0.85,1.94,23.66036
2026-03-24T14:31:56.097429,211,0.85,1.94,23.66036
2026-03-24T14:31:56.127412,214,0.85,1.94,23.66036
2026-03-24T14:31:56.517132,217,0.85,1.94,23.66036
2026-03-24T14:31:56.589360,215,0.85,1.94,23.66036
2026-03-24T14:31:56.787345,210,0.85,1.94,23.66036
2026-03-24T14:31:56.871198,216,0.85,1.94,23.66036
2026-03-24T14:31:57.009228,215,0.85,1.95,23.55226
2026-03-24T14:31:57.141138,215,0.84,1.96,23.19859
2026-03-24T14:31:57.615110,215,0.85,1.97,23.33885
2026-03-24T14:31:57.639638,219,0.85,1.97,23.33885
2026-03-24T14:31:57.681160,212,0.85,1.96,23.4451
2026-03-24T14:31:57.693248,211,0.85,1.97,23.33885
2026-03-24T14:31:57.861423,212,0.85,1.97,23.33885
2026-03-24T14:31:58.245449,213,0.85,1.97,23.33885
2026-03-24T14:31:58.479032,210,0.84,1.97,23.0932
2026-03-24T14:31:58.725125,215,0.85,1.97,23.33885
2026-03-24T14:31:59.037474,213,0.85,1.97,23.33885
2026-03-24T14:31:59.109262,212,0.84,1.97,23.0932
2026-03-24T14:31:59.187379,208,0.85,1.97,23.33885
2026-03-24T14:31:59.199295,216,0.85,1.97,23.33885
2026-03-24T14:31:59.283335,215,0.84,1.97,23.0932
2026-03-24T14:31:59.349510,208,0.84,1.97,23.0932
2026-03-24T14:31:59.481833,217,0.85,1.96,23.4451
2026-03-24T14:31:59.577271,212,0.85,1.96,23.4451
2026-03-24T14:31:59.607303,216,0.86,1.96,23.69069
2026-03-24T14:31:59.655317,215,0.86,1.96,23.69069
2026-03-24T14:31:59.769139,208,0.85,1.96,23.4451
2026-03-24T14:31:59.949551,213,0.84,1.96,23.19859
2026-03-24T14:32:00.033251,212,0.84,1.96,23.19859
2026-03-24T14:32:00.051528,212,0.82,1.97,22.59921
2026-03-24T14:32:00.063283,212,0.84,1.97,23.0932
2026-03-24T14:32:00.075068,215,0.84,1.97,23.0932
2026-03-24T14:32:08.829802,215,0.82,1.94,22.91283
2026-03-24T14:32:08.841763,214,0.83,1.95,23.05659
2026-03-24T14:32:09.009531,212,0.84,1.95,23.30489
2026-03-24T14:32:09.111605,214,0.83,1.96,22.95117
2026-03-24T14:32:09.441591,212,0.83,1.96,22.95117
2026-03-24T14:32:09.717841,212,0.84,1.95,23.30489
2026-03-24T14:32:09.729446,214,0.84,1.95,23.30489
2026-03-24T14:32:09.771231,211,0.84,1.95,23.30489
2026-03-24T14:32:09.951431,213,0.84,1.94,23.41211
2026-03-24T14:32:10.041510,212,0.85,1.94,23.66036
2026-03-24T14:32:10.137327,215,0.84,1.94,23.41211
2026-03-24T14:32:10.467738,213,0.84,1.94,23.41211
2026-03-24T14:32:10.491372,213,0.84,1.95,23.30489
2026-03-24T14:32:10.503465,211,0.84,1.95,23.30489
2026-03-24T14:32:10.521545,211,0.84,1.95,23.30489
2026-03-24T14:32:10.665579,212,0.84,1.95,23.30489
2026-03-24T14:32:10.995753,216,0.83,1.95,23.05659
2026-03-24T14:32:11.109532,212,0.83,1.95,23.05659
2026-03-24T14:32:11.703762,212,0.84,1.95,23.30489
2026-03-24T14:32:11.829666,213,0.84,1.94,23.41211
2026-03-24T14:32:11.889852,219,0.84,1.94,23.41211
2026-03-24T14:32:11.901728,213,0.84,1.94,23.41211
2026-03-24T14:32:11.937797,211,0.85,1.94,23.66036
2026-03-24T14:32:11.979508,208,0.85,1.94,23.66036
2026-03-24T14:32:12.123618,213,0.85,1.94,23.66036
2026-03-24T14:32:12.321462,220,0.85,1.94,23.66036
2026-03-24T14:32:12.369848,214,0.85,1.95,23.55226
2026-03-24T14:32:12.471878,209,0.85,1.95,23.55226
2026-03-24T14:32:12.627547,208,0.85,1.95,23.55226
2026-03-24T14:32:12.669566,218,0.86,1.96,23.69069
