timestamp,distance_raw_m,x_m,y_m,angle_deg
2026-03-24T15:16:46.086770,336,0.4,3.33,6.84956
2026-03-24T15:16:46.146986,335,0.4,3.33,6.84956
2026-03-24T15:16:46.164996,334,0.4,3.33,6.84956
2026-03-24T15:16:46.176997,337,0.4,3.33,6.84956
2026-03-24T15:16:46.291109,334,0.38,3.33,6.5101
2026-03-24T15:16:46.464992,335,0.42,3.33,7.18854
2026-03-24T15:16:46.579202,338,0.4,3.33,6.84956
2026-03-24T15:16:46.669510,336,0.37,3.33,6.34019
2026-03-24T15:16:47.095130,334,0.39,3.33,6.67989
2026-03-24T15:16:47.347069,335,0.43,3.32,7.37976
2026-03-24T15:16:47.400894,336,0.38,3.32,6.52954
2026-03-24T15:16:47.472765,330,0.38,3.32,6.52954
2026-03-24T15:16:47.653279,337,0.36,3.32,6.18862
2026-03-24T15:16:47.881194,336,0.38,3.32,6.52954
2026-03-24T15:16:47.952885,334,0.38,3.33,6.5101
2026-03-24T15:16:47.965241,338,0.36,3.33,6.17018
2026-03-24T15:16:48.211094,336,0.38,3.33,6.5101
2026-03-24T15:16:48.282946,333,0.39,3.33,6.67989
2026-03-24T15:16:48.475007,336,0.41,3.33,7.01911
2026-03-24T15:16:48.763005,338,0.43,3.33,7.35784
2026-03-24T15:16:48.787090,336,0.47,3.32,8.05761
2026-03-24T15:16:48.799067,333,0.47,3.32,8.05761
2026-03-24T15:16:49.081515,332,0.39,3.33,6.67989
2026-03-24T15:16:49.093378,335,0.39,3.33,6.67989
2026-03-24T15:16:49.165477,337,0.34,3.34,5.81248
2026-03-24T15:16:49.585021,337,0.41,3.33,7.01911
2026-03-24T15:16:49.597113,335,0.42,3.33,7.18854
2026-03-24T15:16:49.608967,331,0.42,3.32,7.20996
2026-03-24T15:16:49.621030,335,0.42,3.32,7.20996
2026-03-24T15:16:49.686817,337,0.42,3.33,7.18854
2026-03-24T15:16:49.722898,336,0.42,3.33,7.18854
2026-03-24T15:16:49.771186,335,0.42,3.33,7.18854
2026-03-24T15:16:49.783154,331,0.4,3.33,6.84956
