timestamp,distance_raw_m,x_m,y_m,angle_deg
2026-03-24T14:36:16.975627,221,1.04,1.94,28.19498
2026-03-24T14:36:16.987578,223,1.04,1.93,28.31846
2026-03-24T14:36:16.999277,217,1.04,1.93,28.31846
2026-03-24T14:36:17.017305,222,1.04,1.93,28.31846
2026-03-24T14:36:17.065307,223,1.04,1.93,28.31846
2026-03-24T14:36:17.077146,220,1.05,1.93,28.54802
2026-03-24T14:36:17.089192,220,1.05,1.93,28.54802
2026-03-24T14:36:17.101275,221,1.04,1.93,28.31846
2026-03-24T14:36:17.113203,223,1.05,1.93,28.54802
2026-03-24T14:36:17.167832,224,1.04,1.93,28.31846
2026-03-24T14:36:17.179515,220,1.05,1.93,28.54802
2026-03-24T14:36:17.191468,219,1.05,1.92,28.67315
2026-03-24T14:36:17.203687,218,1.06,1.92,28.90236
2026-03-24T14:36:17.215506,219,1.06,1.92,28.90236
2026-03-24T14:36:17.263760,221,1.07,1.92,29.13056
2026-03-24T14:36:17.281269,221,1.08,1.92,29.35775
2026-03-24T14:36:17.293670,226,1.1,1.92,29.80911
2026-03-24T14:36:17.305657,223,1.12,1.92,30.25644
2026-03-24T14:36:17.317199,219,1.1,1.92,29.80911
2026-03-24T14:36:17.377419,219,1.1,1.92,29.80911
2026-03-24T14:36:17.401387,223,1.11,1.92,30.03328
2026-03-24T14:36:17.419264,220,1.12,1.92,30.25644
2026-03-24T14:36:17.431803,221,1.12,1.92,30.25644
2026-03-24T14:36:17.443241,220,1.12,1.91,30.38682
2026-03-24T14:36:17.491190,219,1.12,1.91,30.38682
2026-03-24T14:36:17.503209,222,1.12,1.92,30.25644
2026-03-24T14:36:17.515227,221,1.12,1.92,30.25644
2026-03-24T14:36:17.533199,217,1.12,1.92,30.25644
2026-03-24T14:36:17.545760,224,1.12,1.92,30.25644
2026-03-24T14:36:17.593623,217,1.12,1.92,30.25644
2026-03-24T14:36:17.605578,219,1.12,1.92,30.25644
2026-03-24T14:36:17.617218,217,1.11,1.92,30.03328
2026-03-24T14:36:17.629252,223,1.11,1.92,30.03328
2026-03-24T14:36:17.647302,223,1.11,1.92,30.03328
2026-03-24T14:36:17.695235,221,1.11,1.92,30.03328
2026-03-24T14:36:17.707432,218,1.1,1.92,29.80911
2026-03-24T14:36:17.719260,221,1.1,1.93,29.6809
2026-03-24T14:36:17.731284,219,1.11,1.92,30.03328
2026-03-24T14:36:17.743216,219,1.11,1.92,30.03328
2026-03-24T14:36:17.797384,217,1.11,1.92,30.03328
2026-03-24T14:36:17.809286,222,1.11,1.92,30.03328
2026-03-24T14:36:17.821301,219,1.11,1.92,30.03328
2026-03-24T14:36:17.833306,219,1.1,1.92,29.80911
2026-03-24T14:36:17.845761,221,1.09,1.93,29.45632
2026-03-24T14:36:17.893563,218,1.09,1.93,29.45632
2026-03-24T14:36:17.911371,219,1.1,1.93,29.6809
2026-03-24T14:36:17.923215,224,1.08,1.93,29.23074
2026-03-24T14:36:17.947246,219,1.08,1.91,29.48577
2026-03-24T14:36:17.959115,220,1.08,1.91,29.48577
2026-03-24T14:36:18.007334,220,1.08,1.91,29.48577
2026-03-24T14:36:18.025652,219,1.08,1.9,29.61481
2026-03-24T14:36:18.037501,224,1.07,1.91,29.25796
2026-03-24T14:36:18.049466,218,1.07,1.91,29.25796
2026-03-24T14:36:18.061531,217,1.07,1.91,29.25796
2026-03-24T14:36:18.109571,219,1.07,1.91,29.25796
2026-03-24T14:36:21.481793,226,1.08,1.92,29.35775
2026-03-24T14:36:21.493657,224,1.08,1.92,29.35775
2026-03-24T14:36:21.505628,221,1.09,1.91,29.71257
2026-03-24T14:36:21.559749,223,1.09,1.92,29.58394
2026-03-24T14:36:21.571715,219,1.09,1.92,29.58394
2026-03-24T14:36:21.583753,223,1.09,1.91,29.71257
2026-03-24T14:36:21.595638,224,1.09,1.92,29.58394
2026-03-24T14:36:21.607698,218,1.1,1.91,29.93834
2026-03-24T14:36:21.655636,216,1.09,1.91,29.71257
2026-03-24T14:36:21.673739,221,1.1,1.91,29.93834
2026-03-24T14:36:21.685730,219,1.1,1.91,29.93834
2026-03-24T14:36:21.697694,222,1.09,1.92,29.58394
2026-03-24T14:36:21.709782,222,1.09,1.92,29.58394
2026-03-24T14:36:21.757587,221,1.09,1.92,29.58394
2026-03-24T14:36:21.769720,221,1.09,1.92,29.58394
2026-03-24T14:36:21.787624,220,1.09,1.92,29.58394
2026-03-24T14:36:21.799773,217,1.09,1.92,29.58394
2026-03-24T14:36:21.811438,223,1.09,1.92,29.58394
2026-03-24T14:36:21.859630,221,1.09,1.92,29.58394
2026-03-24T14:36:21.871788,221,1.09,1.92,29.58394
2026-03-24T14:36:21.883371,222,1.09,1.92,29.58394
2026-03-24T14:36:21.901467,220,1.08,1.92,29.35775
2026-03-24T14:36:21.913462,223,1.08,1.92,29.35775
2026-03-24T14:36:21.961271,219,1.08,1.92,29.35775
2026-03-24T14:36:21.973207,218,1.09,1.92,29.58394
2026-03-24T14:36:21.985289,219,1.09,1.92,29.58394
2026-03-24T14:36:21.997398,219,1.09,1.92,29.58394
2026-03-24T14:36:22.015574,220,1.09,1.92,29.58394
2026-03-24T14:36:22.063414,219,1.09,1.91,29.71257
2026-03-24T14:36:22.075371,220,1.09,1.91,29.71257
2026-03-24T14:36:22.087356,218,1.09,1.91,29.71257
2026-03-24T14:36:22.099550,223,1.08,1.91,29.48577
2026-03-24T14:36:22.111303,223,1.08,1.91,29.48577
2026-03-24T14:36:22.165350,222,1.07,1.91,29.25796
2026-03-24T14:36:22.177378,220,1.08,1.91,29.48577
2026-03-24T14:36:22.189330,219,1.08,1.91,29.48577
2026-03-24T14:36:22.201316,217,1.08,1.91,29.48577
2026-03-24T14:36:22.213396,225,1.07,1.92,29.13056
2026-03-24T14:36:22.261434,218,1.07,1.92,29.13056
2026-03-24T14:36:22.279496,223,1.07,1.92,29.13056
2026-03-24T14:36:22.291322,222,1.07,1.92,29.13056
2026-03-24T14:36:22.303319,219,1.07,1.92,29.13056
2026-03-24T14:36:22.315585,216,1.07,1.92,29.13056
2026-03-24T14:36:22.363440,219,1.07,1.92,29.13056
2026-03-24T14:36:22.375320,220,1.07,1.92,29.13056
2026-03-24T14:36:22.393356,221,1.07,1.92,29.13056
2026-03-24T14:36:22.405370,220,1.07,1.92,29.13056
2026-03-24T14:36:22.417307,219,1.08,1.92,29.35775
2026-03-24T14:36:22.465369,218,1.08,1.92,29.35775
2026-03-24T14:36:22.477312,219,1.07,1.92,29.13056
2026-03-24T14:36:22.489332,225,1.07,1.92,29.13056
2026-03-24T14:36:22.507683,222,1.08,1.92,29.35775
2026-03-24T14:36:22.519739,218,1.08,1.91,29.48577
2026-03-24T14:36:22.567662,219,1.08,1.92,29.35775
2026-03-24T14:36:22.579621,219,1.08,1.92,29.35775
2026-03-24T14:36:22.591674,218,1.08,1.91,29.48577
2026-03-24T14:36:22.603676,223,1.08,1.92,29.35775
2026-03-24T14:36:22.621672,221,1.08,1.92,29.35775
2026-03-24T14:36:22.669714,220,1.08,1.92,29.35775
2026-03-24T14:36:22.681815,222,1.08,1.92,29.35775
2026-03-24T14:36:22.693327,220,1.08,1.92,29.35775
2026-03-24T14:36:22.705374,219,1.08,1.92,29.35775
2026-03-24T14:36:22.717388,218,1.08,1.92,29.35775
2026-03-24T14:36:22.771363,222,1.08,1.92,29.35775
2026-03-24T14:36:22.783488,218,1.08,1.93,29.23074
2026-03-24T14:36:22.795284,219,1.07,1.93,29.00417
2026-03-24T14:36:22.807312,222,1.08,1.93,29.23074
2026-03-24T14:36:22.819394,218,1.08,1.91,29.48577
2026-03-24T14:36:22.879589,219,1.09,1.9,29.84221
2026-03-24T14:36:22.897363,217,1.09,1.9,29.84221
2026-03-24T14:36:22.909361,221,1.09,1.9,29.84221
2026-03-24T14:36:22.921368,221,1.09,1.9,29.84221
2026-03-24T14:36:22.933389,225,1.08,1.91,29.48577
2026-03-24T14:36:22.981474,219,1.08,1.91,29.48577
2026-03-24T14:36:22.993451,219,1.08,1.91,29.48577
2026-03-24T14:36:23.011796,218,1.08,1.91,29.48577
2026-03-24T14:36:23.023874,219,1.09,1.9,29.84221
2026-03-24T14:36:23.035818,217,1.09,1.9,29.84221
2026-03-24T14:36:23.083752,219,1.09,1.9,29.84221
2026-03-24T14:36:23.095741,219,1.1,1.9,30.06858
2026-03-24T14:36:23.107773,220,1.1,1.9,30.06858
2026-03-24T14:36:23.125691,223,1.09,1.9,29.84221
2026-03-24T14:36:23.138005,218,1.07,1.91,29.25796
2026-03-24T14:36:23.185636,219,1.09,1.9,29.84221
2026-03-24T14:36:23.198165,227,1.08,1.91,29.48577
2026-03-24T14:36:23.209724,223,1.08,1.91,29.48577
2026-03-24T14:36:23.221708,222,1.07,1.91,29.25796
2026-03-24T14:36:23.239723,219,1.06,1.91,29.02913
2026-03-24T14:36:23.287632,221,1.07,1.91,29.25796
2026-03-24T14:36:23.299980,218,1.06,1.92,28.90236
2026-03-24T14:36:26.683854,221,1.05,1.93,28.54802
2026-03-24T14:36:26.695883,219,1.05,1.93,28.54802
2026-03-24T14:36:26.743880,221,1.06,1.93,28.77659
2026-03-24T14:36:26.755786,220,1.05,1.93,28.54802
2026-03-24T14:36:26.767863,222,1.06,1.93,28.77659
2026-03-24T14:36:26.785874,218,1.08,1.92,29.35775
2026-03-24T14:36:26.797844,217,1.09,1.92,29.58394
2026-03-24T14:36:26.845933,227,1.08,1.92,29.35775
2026-03-24T14:36:26.857798,221,1.09,1.92,29.58394
2026-03-24T14:36:26.869856,220,1.09,1.92,29.58394
2026-03-24T14:36:26.881987,221,1.09,1.92,29.58394
2026-03-24T14:36:26.899850,222,1.1,1.92,29.80911
2026-03-24T14:36:26.947790,220,1.1,1.92,29.80911
2026-03-24T14:36:26.959764,219,1.1,1.92,29.80911
2026-03-24T14:36:26.971757,221,1.1,1.92,29.80911
2026-03-24T14:36:26.983695,225,1.1,1.92,29.80911
2026-03-24T14:36:26.995701,220,1.1,1.92,29.80911
2026-03-24T14:36:27.049538,219,1.1,1.92,29.80911
2026-03-24T14:36:27.061541,219,1.1,1.92,29.80911
2026-03-24T14:36:27.073528,222,1.09,1.92,29.58394
2026-03-24T14:36:27.085581,220,1.1,1.92,29.80911
2026-03-24T14:36:27.097619,222,1.1,1.92,29.80911
2026-03-24T14:36:27.145584,220,1.1,1.92,29.80911
2026-03-24T14:36:27.163503,218,1.1,1.92,29.80911
2026-03-24T14:36:27.175845,221,1.1,1.92,29.80911
2026-03-24T14:36:27.187874,219,1.1,1.92,29.80911
2026-03-24T14:36:27.200060,220,1.1,1.91,29.93834
2026-03-24T14:36:27.247767,221,1.1,1.92,29.80911
2026-03-24T14:36:27.259704,222,1.1,1.92,29.80911
2026-03-24T14:36:27.277894,223,1.1,1.91,29.93834
2026-03-24T14:36:27.289786,221,1.1,1.91,29.93834
2026-03-24T14:36:27.301441,218,1.1,1.91,29.93834
2026-03-24T14:36:27.349752,220,1.09,1.91,29.71257
2026-03-24T14:36:27.361788,223,1.09,1.91,29.71257
2026-03-24T14:36:27.373591,220,1.08,1.91,29.48577
2026-03-24T14:36:27.391441,221,1.08,1.91,29.48577
2026-03-24T14:36:27.403859,218,1.08,1.91,29.48577
2026-03-24T14:36:27.451713,219,1.08,1.91,29.48577
2026-03-24T14:36:27.463863,225,1.08,1.91,29.48577
2026-03-24T14:36:27.475763,219,1.08,1.91,29.48577
2026-03-24T14:36:27.487778,216,1.07,1.91,29.25796
2026-03-24T14:36:27.505895,225,1.05,1.92,28.67315
2026-03-24T14:36:27.553695,219,1.05,1.92,28.67315
2026-03-24T14:36:27.565945,219,1.05,1.91,28.79928
2026-03-24T14:36:27.578220,219,1.05,1.92,28.67315
2026-03-24T14:36:27.589841,220,1.05,1.92,28.67315
2026-03-24T14:36:27.601760,221,1.05,1.92,28.67315
2026-03-24T14:36:27.655718,223,1.05,1.92,28.67315
2026-03-24T14:36:27.667690,217,1.05,1.92,28.67315
2026-03-24T14:36:27.679840,220,1.06,1.92,28.90236
2026-03-24T14:36:27.691778,221,1.05,1.92,28.67315
2026-03-24T14:36:27.703861,219,1.05,1.92,28.67315
2026-03-24T14:36:27.751780,224,1.05,1.92,28.67315
2026-03-24T14:36:27.769852,219,1.05,1.92,28.67315
2026-03-24T14:36:27.781953,222,1.04,1.92,28.44293
2026-03-24T14:36:27.794099,221,1.04,1.92,28.44293
2026-03-24T14:36:27.806013,217,1.04,1.92,28.44293
2026-03-24T14:36:27.853636,221,1.04,1.92,28.44293
2026-03-24T14:36:27.865670,217,1.05,1.92,28.67315
2026-03-24T14:36:27.883861,219,1.04,1.92,28.44293
2026-03-24T14:36:27.895775,220,1.05,1.92,28.67315
2026-03-24T14:36:27.907753,222,1.05,1.92,28.67315
2026-03-24T14:36:27.955795,220,1.05,1.92,28.67315
2026-03-24T14:36:27.967778,217,1.06,1.91,29.02913
2026-03-24T14:36:27.979849,219,1.05,1.92,28.67315
2026-03-24T14:36:27.997984,221,1.05,1.92,28.67315
2026-03-24T14:36:28.009910,223,1.05,1.92,28.67315
2026-03-24T14:36:28.057833,218,1.05,1.92,28.67315
2026-03-24T14:36:28.069771,219,1.06,1.92,28.90236
2026-03-24T14:36:28.081819,220,1.05,1.92,28.67315
2026-03-24T14:36:28.094044,221,1.05,1.92,28.67315
2026-03-24T14:36:28.112186,220,1.06,1.92,28.90236
2026-03-24T14:36:28.159598,220,1.06,1.92,28.90236
2026-03-24T14:36:28.171561,220,1.05,1.93,28.54802
2026-03-24T14:36:28.183981,221,1.04,1.93,28.31846
2026-03-24T14:36:28.195872,224,1.05,1.93,28.54802
2026-03-24T14:36:28.207811,222,1.04,1.93,28.31846
