timestamp,distance_raw_m,x_m,y_m,angle_deg
2026-03-24T15:08:38.767606,340,-0.25,3.42,-4.18085
2026-03-24T15:08:38.869791,345,-0.14,3.42,-2.34413
2026-03-24T15:08:39.073459,341,-0.24,3.42,-4.01418
2026-03-24T15:08:39.085577,343,-0.24,3.42,-4.01418
2026-03-24T15:08:39.121229,341,-0.23,3.42,-3.84743
2026-03-24T15:08:39.409286,344,-0.14,3.42,-2.34413
2026-03-24T15:08:39.433198,340,-0.14,3.42,-2.34413
2026-03-24T15:08:39.673275,343,-0.09,3.42,-1.50744
2026-03-24T15:08:39.727224,341,-0.09,3.42,-1.50744
2026-03-24T15:08:39.739163,345,-0.09,3.42,-1.50744
2026-03-24T15:08:39.889234,345,-0.09,3.43,-1.50304
2026-03-24T15:08:40.015776,344,-0.05,3.43,-0.83516
2026-03-24T15:08:40.105387,342,-0.05,3.42,-0.8376
2026-03-24T15:08:40.231250,343,-0.07,3.42,-1.17256
2026-03-24T15:08:40.309250,342,-0.05,3.42,-0.8376
2026-03-24T15:08:40.333151,341,-0.07,3.42,-1.17256
2026-03-24T15:08:40.381240,342,-0.07,3.42,-1.17256
2026-03-24T15:08:40.417673,343,-0.07,3.42,-1.17256
2026-03-24T15:08:40.531179,341,-0.07,3.42,-1.17256
2026-03-24T15:08:40.573186,345,-0.07,3.42,-1.17256
2026-03-24T15:08:40.915646,342,-0.05,3.42,-0.8376
2026-03-24T15:08:40.999138,346,-0.08,3.42,-1.34001
2026-03-24T15:08:41.215510,343,-0.08,3.42,-1.34001
2026-03-24T15:08:41.227288,345,-0.05,3.42,-0.8376
2026-03-24T15:08:41.239249,345,-0.05,3.42,-0.8376
2026-03-24T15:08:41.317197,346,-0.03,3.42,-0.50258
2026-03-24T15:08:43.123304,340,-0.11,3.43,-1.83684
2026-03-24T15:08:43.183327,344,-0.13,3.43,-2.17052
2026-03-24T15:08:43.525204,342,-0.16,3.42,-2.67855
2026-03-24T15:08:43.627287,344,-0.16,3.43,-2.67075
2026-03-24T15:08:43.651287,343,-0.16,3.43,-2.67075
2026-03-24T15:08:43.741289,340,-0.16,3.43,-2.67075
2026-03-24T15:08:43.753460,343,-0.15,3.43,-2.50405
2026-03-24T15:08:43.795333,344,-0.14,3.43,-2.33731
2026-03-24T15:08:43.957504,344,-0.2,3.43,-3.33708
2026-03-24T15:08:43.993468,341,-0.16,3.43,-2.67075
2026-03-24T15:08:44.209472,341,-0.1,3.43,-1.66996
2026-03-24T15:08:44.287456,340,-0.1,3.43,-1.66996
2026-03-24T15:08:44.413676,341,-0.14,3.43,-2.33731
2026-03-24T15:08:44.527273,345,-0.14,3.43,-2.33731
2026-03-24T15:08:44.575255,343,-0.12,3.43,-2.0037
2026-03-24T15:08:44.827298,341,-0.15,3.43,-2.50405
2026-03-24T15:08:44.893763,342,-0.15,3.43,-2.50405
2026-03-24T15:08:45.055775,344,-0.15,3.42,-2.51136
2026-03-24T15:08:45.205413,341,-0.16,3.42,-2.67855
2026-03-24T15:08:45.217166,340,-0.16,3.42,-2.67855
2026-03-24T15:08:45.271254,346,-0.16,3.42,-2.67855
2026-03-24T15:08:46.645257,347,-0.06,3.43,-1.00216
2026-03-24T15:08:48.715321,344,-0.12,3.43,-2.0037
2026-03-24T15:08:48.763213,344,-0.13,3.43,-2.17052
2026-03-24T15:08:48.793346,342,-0.13,3.43,-2.17052
2026-03-24T15:08:48.805235,344,-0.12,3.43,-2.0037
2026-03-24T15:08:48.829311,343,-0.12,3.43,-2.0037
2026-03-24T15:08:48.919876,344,-0.1,3.43,-1.66996
2026-03-24T15:08:48.943316,341,-0.1,3.43,-1.66996
2026-03-24T15:08:48.991593,346,-0.07,3.43,-1.16914
2026-03-24T15:08:49.159559,344,-0.1,3.43,-1.66996
2026-03-24T15:08:49.243828,340,-0.1,3.42,-1.67484
2026-03-24T15:08:49.699514,341,-0.15,3.42,-2.51136
2026-03-24T15:08:49.747391,340,-0.14,3.41,-2.351
2026-03-24T15:08:49.885620,343,-0.18,3.41,-3.02161
2026-03-24T15:08:49.903542,341,-0.15,3.42,-2.51136
2026-03-24T15:08:49.975259,341,-0.14,3.41,-2.351
2026-03-24T15:08:50.029622,342,-0.11,3.42,-1.84221
2026-03-24T15:08:50.089623,342,-0.1,3.42,-1.67484
2026-03-24T15:08:50.245219,341,-0.11,3.41,-1.84761
2026-03-24T15:08:50.305294,343,-0.11,3.41,-1.84761
2026-03-24T15:08:50.521257,342,-0.12,3.41,-2.01544
2026-03-24T15:08:50.545353,340,-0.12,3.42,-2.00955
2026-03-24T15:08:50.647356,346,-0.17,3.41,-2.85402
2026-03-24T15:08:50.749633,346,-0.14,3.41,-2.351
2026-03-24T15:08:50.857309,346,-0.11,3.42,-1.84221
2026-03-24T15:08:51.217672,341,-0.09,3.42,-1.50744
2026-03-24T15:08:51.289827,345,-0.09,3.42,-1.50744
2026-03-24T15:08:51.331356,345,-0.09,3.42,-1.50744
2026-03-24T15:08:53.017417,341,-0.08,3.42,-1.34001
2026-03-24T15:08:53.179361,344,-0.08,3.43,-1.3361
2026-03-24T15:08:53.197356,341,-0.08,3.43,-1.3361
